Faction,Class,KB,D,HK,DD,HD,Rol
Alliance,Monk,1,4,33,14806,54073,heal
Alliance,Druid,6,5,44,24422,7954,dps
Horde,Warrior,2,4,14,7757,6224,dps
Alliance,Hunter,12,3,50,31056,6336,dps
Alliance,Warlock,13,5,51,43470,16041,dps
Horde,Warrior,1,7,25,18769,1247,dps
Horde,Druid,6,7,28,35975,9485,dps
Horde,Monk,2,5,29,38337,9363,dps
Alliance,Death Knight,7,3,51,23094,5677,dps
Horde,Warrior,3,7,23,20776,9371,dps
Alliance,Demon Hunter,0,7,1,17372,3038,dps
Horde,Rogue,3,1,32,9029,397,dps
Horde,Druid,6,0,33,24448,4582,dps
Horde,Hunter,9,0,35,19884,3425,dps
Horde,Paladin,0,0,26,2599,1641,dps
Horde,Shaman,0,0,27,1954,15099,heal
Horde,Warrior,3,0,36,11996,1038,dps
Alliance,Demon Hunter,1,2,1,10741,1466,dps
Alliance,Priest,0,3,1,955,8527,heal
Alliance,Rogue,0,3,1,9862,211,dps
Horde,Warrior,6,0,36,18433,2831,dps
Horde,Druid,0,0,35,911,26698,heal
Alliance,Warrior,0,4,1,3043,2887,dps
Alliance,Hunter,0,5,1,7294,3281,dps
Horde,Paladin,4,0,36,14970,3268,dps
Alliance,Druid,0,2,0,0,10195,heal
Alliance,Warlock,0,4,0,16450,7277,dps
Horde,Monk,6,0,34,23189,6444,dps
Alliance,Rogue,0,5,1,6858,2459,dps
Alliance,Priest,10,4,58,40092,14538,dps
Alliance,Death Knight,12,6,53,31347,14346,dps
Alliance,Druid,9,2,62,70441,494,dps
Horde,Priest,2,4,22,17089,15538,dps
Alliance,Mage,4,1,61,35490,3726,dps
Horde,Demon Hunter,1,7,25,29034,1174,dps
Horde,Warrior,5,4,25,19992,3683,dps
Horde,Paladin,3,11,21,24742,11005,dps
Horde,Shaman,0,10,25,4955,43833,heal
Alliance,Hunter,2,5,57,31076,4839,dps
Alliance,Warrior,2,2,54,18823,5387,dps
Horde,Paladin,0,6,27,2618,57836,heal
Alliance,Paladin,13,3,57,37267,11643,dps
Alliance,Druid,3,3,56,17418,16583,dps
Horde,Monk,2,5,25,31043,16953,dps
Alliance,Priest,13,3,62,48575,19527,dps
Horde,Paladin,8,9,23,42133,9465,dps
Horde,Mage,2,4,24,25663,13130,dps
Horde,Paladin,7,9,23,32757,12189,dps
Alliance,Shaman,1,3,61,6332,54914,heal
Alliance,Warlock,3,2,23,30895,7157,dps
Horde,Mage,8,6,38,85175,23305,dps
Horde,Warrior,9,6,40,46851,8477,dps
Alliance,Hunter,2,5,46,38946,11987,dps
Alliance,Priest,15,4,49,123000,35145,dps
Alliance,Hunter,7,8,41,132000,25295,dps
Horde,Shaman,0,6,40,10874,150000,heal
Horde,Warlock,3,5,22,53580,38579,dps
Alliance,Demon Hunter,4,4,37,41529,9268,dps
Horde,Warlock,3,5,31,19953,17449,dps
Horde,Death Knight,2,6,41,42427,26412,dps
Alliance,Warlock,3,5,27,52437,35221,dps
Horde,Hunter,8,5,47,47375,13113,dps
Horde,Paladin,7,4,35,50943,27311,dps
Alliance,Druid,0,6,47,1244,81587,heal
Alliance,Druid,5,3,43,89434,8523,dps
Alliance,Hunter,7,3,47,63903,12224,dps
Horde,Warrior,5,8,39,59106,23215,dps
Horde,Paladin,6,6,42,78565,42581,dps
Alliance,Demon Hunter,11,11,48,109000,9050,dps
Alliance,Monk,0,2,17,1404,111000,heal
Horde,Shaman,2,4,17,23373,5920,dps
Alliance,Paladin,3,4,17,72205,35392,dps
Alliance,Demon Hunter,0,6,1,13751,1416,dps
Horde,Warlock,3,1,25,46804,16934,dps
Horde,Mage,4,1,16,39910,3120,dps
Horde,Warrior,5,1,27,62571,17566,dps
Alliance,Priest,1,3,19,7340,48071,heal
Alliance,Hunter,3,3,19,46793,11099,dps
Alliance,Shaman,0,3,24,14956,70297,heal
Horde,Shaman,0,8,19,3896,70444,heal
Horde,Warrior,4,0,30,38997,9283,dps
Alliance,Mage,1,6,11,20832,8656,dps
Horde,Warlock,4,2,27,79679,31249,dps
Alliance,Monk,2,2,21,34753,11306,dps
Alliance,Warrior,13,2,24,99446,16581,dps
Horde,Priest,1,3,18,16276,79725,heal
Horde,Hunter,6,2,24,57857,17782,dps
Horde,Warrior,0,3,16,16256,3467,dps
Alliance,Hunter,0,1,7,9475,1849,dps
Alliance,Paladin,1,4,11,12144,4054,dps
Alliance,Demon Hunter,0,7,9,12337,6720,dps
Alliance,Demon Hunter,3,6,13,36969,3986,dps
Alliance,Warrior,0,6,8,14450,3295,dps
Horde,Shaman,1,2,45,5337,55768,heal
Alliance,Druid,0,5,7,270,28254,heal
Alliance,Demon Hunter,1,0,4,8489,309,dps
Horde,Warlock,5,1,48,16152,8432,dps
Horde,Warlock,4,2,52,31053,12454,dps
Horde,Priest,0,2,46,1484,39236,heal
Horde,Mage,3,1,49,31740,3400,dps
Horde,Hunter,11,0,54,35220,887,dps
Horde,Shaman,6,1,24,13117,1164,dps
Alliance,Warrior,2,5,9,17113,1766,dps
Alliance,Paladin,3,6,9,31140,8288,dps
Alliance,Paladin,4,8,10,49434,18988,dps
Horde,Mage,12,1,56,54907,3873,dps
Horde,Death Knight,7,2,51,33027,17150,dps
Horde,Mage,6,2,51,38638,2456,dps
Alliance,Shaman,0,9,10,6983,41303,heal
Alliance,Monk,0,6,4,9076,8398,dps
Horde,Death Knight,5,0,22,25425,6302,dps
Horde,Hunter,4,1,29,30894,2304,dps
Horde,Druid,0,0,37,5414,70045,heal
Horde,Warlock,6,1,24,25013,16005,dps
Alliance,Demon Hunter,0,6,6,8472,1798,dps
Horde,Paladin,1,1,34,10538,24935,heal
Alliance,Monk,0,5,8,1556,44968,heal
Alliance,Druid,0,3,5,17832,2562,dps
Alliance,Shaman,0,0,3,7081,442,dps
Horde,Rogue,2,1,12,11182,1967,dps
Horde,Rogue,3,1,24,16420,8102,dps
Alliance,Demon Hunter,3,4,4,38595,6677,dps
Alliance,Warrior,1,1,5,6260,870,dps
Horde,Shaman,0,1,24,3903,21364,heal
Horde,Hunter,9,0,33,49713,5274,dps
Alliance,Priest,0,5,3,5137,29520,heal
Alliance,Warrior,1,5,4,12083,91,dps
Alliance,Mage,3,3,7,28483,5374,dps
Horde,Shaman,11,2,38,38895,6568,dps
Alliance,Shaman,0,2,19,5362,1982,dps
Alliance,Priest,9,0,37,68070,7779,dps
Alliance,Monk,7,1,37,33215,7643,dps
Alliance,Paladin,8,0,39,72723,22079,dps
Horde,Hunter,0,4,0,35874,5516,dps
Horde,Hunter,0,3,2,8092,4200,dps
Horde,Mage,3,2,5,16626,3718,dps
Horde,Shaman,0,9,0,3159,31023,heal
Horde,Monk,0,3,1,10158,15965,heal
Alliance,Demon Hunter,1,0,9,9851,1973,dps
Horde,Warlock,1,1,5,38656,17995,dps
Horde,Mage,1,3,3,14831,13896,dps
Horde,Paladin,0,4,1,14915,10955,dps
Alliance,Warrior,2,1,22,21614,5073,dps
Alliance,Shaman,0,0,39,7135,90943,heal
Horde,Demon Hunter,0,2,1,5971,0,dps
Alliance,Paladin,3,1,20,21950,6446,dps
Alliance,Paladin,0,0,8,3575,3463,dps
Horde,Warlock,0,5,1,27489,19149,dps
Alliance,Warlock,11,0,38,75321,22441,dps
Horde,Druid,0,0,20,1838,52542,heal
Horde,Warrior,2,0,9,19349,315,dps
Horde,Hunter,6,1,18,93288,7983,dps
Alliance,Priest,0,4,1,13500,42184,heal
Horde,Priest,2,0,22,28188,4095,dps
Horde,Shaman,0,0,22,3021,62329,heal
Horde,Demon Hunter,6,0,22,47380,7762,dps
Alliance,Priest,2,1,3,47257,26763,dps
Alliance,Shaman,0,1,3,25257,25648,heal
Alliance,Mage,0,5,0,11521,10533,dps
Horde,Shaman,0,0,14,3011,14531,heal
Horde,Rogue,3,1,20,32965,2700,dps
Alliance,Hunter,0,2,1,13386,2302,dps
Alliance,Shaman,0,2,1,10012,19590,heal
Alliance,Warrior,0,1,3,4461,105,dps
Alliance,Paladin,0,1,3,6852,1536,dps
Alliance,Hunter,0,2,2,51929,9739,dps
Alliance,Hunter,1,3,3,33120,3651,dps
Horde,Warlock,3,1,18,24069,11209,dps
Horde,Druid,0,0,20,743,64975,heal
Horde,Warrior,9,0,47,61047,8097,dps
Alliance,Demon Hunter,0,8,0,52850,5448,dps
Horde,Demon Hunter,3,0,37,51960,2985,dps
Horde,Warrior,0,0,48,89098,12649,dps
Horde,Shaman,0,0,32,2971,39918,heal
Alliance,Demon Hunter,0,6,0,44644,6760,dps
Horde,Death Knight,9,0,46,71646,16102,dps
Alliance,Druid,0,1,0,0,32218,heal
Horde,Mage,2,0,30,33017,5245,dps
Alliance,Monk,0,4,0,1110,24319,heal
Alliance,Warlock,0,9,0,71967,24561,dps
Horde,Demon Hunter,1,0,17,10280,915,dps
